&*******************;*********;*******;*******;******;***;***********
&                   ;CodPEE   ;PerIni ;PerFin ;Pat   ;Cen;GerEolica
&-                  ;         ;       ;       ;      ;   ;MW
PEE-GER-PER-PAT-CEN;1;6;6;1;110;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;110;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;110;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;111;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;111;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;111;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;112;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;112;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;112;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;113;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;113;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;113;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;114;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;114;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;114;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;115;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;115;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;115;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;116;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;116;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;116;6.1113
