NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 326 GTMIN 00000.00  9 2028 10 2028
 326 GTMIN 00000.00 11 2028 11 2028
 326 GTMIN 00000.00 12 2028 12 2028
 326 GTMIN 00000.00  1 2029  1 2029
 326 GTMIN 00000.00  2 2029  2 2029
 326 GTMIN 00000.00  3 2029  3 2029
 326 GTMIN 00000.00  4 2029  4 2029
 326 GTMIN 00000.00  5 2029  5 2029
 326 GTMIN 00000.00  6 2029  6 2029
 326 GTMIN 00000.00  7 2029  7 2029
 326 GTMIN 00000.00  8 2029  8 2029
 326 GTMIN 00000.00  9 2029 11 2029
 326 GTMIN 00000.00 12 2029
 204 POTEF    75.48  4 2025          JARAQUI
 204 FCMAX    83.47  4 2025          
 204 TEIFT     0.00  4 2025  5 2025  
 204 GTMIN    62.99  4 2025  4 2025
 204 GTMIN    30.42  5 2025  5 2025
 204 GTMIN 00026.71  6 2025
 327 POTEF    42.25  2 2026          M.CRISTO SUC
 327 FCMAX    90.22  2 2026  5 2028  
 327 FCMAX    81.18  6 2028  6 2028  
 327 FCMAX     0.00  7 2028          
 205 POTEF    73.40  4 2025          MANAUARA
 205 FCMAX    86.80  4 2025  4 2025  
 205 TEIFT     0.00  4 2025  5 2025  
