modelo,deck,tipo,codigo,nome,potencia_efetiva,fcmax,teif,ip,arquivo_origem,tipo_combustivel
DECOMP,DC202504-sem1,Usina Térmica Individual,470,GERAMAR2_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,473,GERAMAR1_F,,,,,dadger..rv0,
DECOMP,DC202601-sem1,Usina Térmica Individual,490,T.MACAE_F,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,497,CUBATAO_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,510,NPIRATIN_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,516,PARNA_IV_F,,,,,dadger..rv0,
DECOMP,DC202601-sem1,Usina Térmica Individual,583,ATLANTIC_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,603,C. ROCHA_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,604,JARAQUI_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,605,MANAUARA_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,607,PONTA NE_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,609,TAMBAQUI_F,,,,,dadger..rv0,
DECOMP,DC202601-sem1,Usina Térmica Individual,651,POVOAC I_F,,,,,dadger..rv0,
DECOMP,DC202601-sem1,Usina Térmica Individual,653,VIANA I_F,,,,,dadger..rv0,
DECOMP,DC202504-sem1,Usina Térmica Individual,734,W.ARJONA_F,,,,,dadger..rv0,
